"","Address"
"1","011 Agha,Carlow,Ireland"
"2","012 Ballinacarrig,Carlow,Ireland"
"3","012 Ballinacarrig,Carlow,Ireland"
"4","012 Ballinacarrig,Carlow,Ireland"
"5","013 Ballintemple,Carlow,Ireland"
"6","013 Ballintemple,Carlow,Ireland"
"7","014 Ballon,Carlow,Ireland"
"8","014 Ballon,Carlow,Ireland"
"9","014 Ballon,Carlow,Ireland"
"10","015 Ballyellin,Carlow,Ireland"
"11","015 Ballyellin,Carlow,Ireland"
"12","016 Ballymoon,Carlow,Ireland"
"13","049 Ballymurphy,Carlow,Ireland"
"14","017 Borris,Carlow,Ireland"
"15","017 Borris,Carlow,Ireland"
"16","017 Borris,Carlow,Ireland"
"17","017 Borris,Carlow,Ireland"
"18","018 Burton Hall,Carlow,Ireland"
"19","018 Burton Hall,Carlow,Ireland"
"20","019 Carlow Rural,Carlow,Ireland"
"21","019 Carlow Rural,Carlow,Ireland"
"22","019 Carlow Rural,Carlow,Ireland"
"23","019 Carlow Rural,Carlow,Ireland"
"24","019 Carlow Rural,Carlow,Ireland"
"25","019 Carlow Rural,Carlow,Ireland"
"26","019 Carlow Rural,Carlow,Ireland"
"27","019 Carlow Rural,Carlow,Ireland"
"28","019 Carlow Rural,Carlow,Ireland"
"29","019 Carlow Rural,Carlow,Ireland"
"30","019 Carlow Rural,Carlow,Ireland"
"31","019 Carlow Rural,Carlow,Ireland"
"32","019 Carlow Rural,Carlow,Ireland"
"33","019 Carlow Rural,Carlow,Ireland"
"34","019 Carlow Rural,Carlow,Ireland"
"35","019 Carlow Rural,Carlow,Ireland"
"36","019 Carlow Rural,Carlow,Ireland"
"37","019 Carlow Rural,Carlow,Ireland"
"38","019 Carlow Rural,Carlow,Ireland"
"39","019 Carlow Rural,Carlow,Ireland"
"40","019 Carlow Rural,Carlow,Ireland"
"41","019 Carlow Rural,Carlow,Ireland"
"42","019 Carlow Rural,Carlow,Ireland"
"43","019 Carlow Rural,Carlow,Ireland"
"44","019 Carlow Rural,Carlow,Ireland"
"45","019 Carlow Rural,Carlow,Ireland"
"46","019 Carlow Rural,Carlow,Ireland"
"47","019 Carlow Rural,Carlow,Ireland"
"48","019 Carlow Rural,Carlow,Ireland"
"49","019 Carlow Rural,Carlow,Ireland"
"50","019 Carlow Rural,Carlow,Ireland"
"51","019 Carlow Rural,Carlow,Ireland"
"52","019 Carlow Rural,Carlow,Ireland"
"53","019 Carlow Rural,Carlow,Ireland"
"54","019 Carlow Rural,Carlow,Ireland"
"55","019 Carlow Rural,Carlow,Ireland"
"56","019 Carlow Rural,Carlow,Ireland"
"57","019 Carlow Rural,Carlow,Ireland"
"58","019 Carlow Rural,Carlow,Ireland"
"59","019 Carlow Rural,Carlow,Ireland"
"60","019 Carlow Rural,Carlow,Ireland"
"61","019 Carlow Rural,Carlow,Ireland"
"62","019 Carlow Rural,Carlow,Ireland"
"63","019 Carlow Rural,Carlow,Ireland"
"64","019 Carlow Rural,Carlow,Ireland"
"65","019 Carlow Rural,Carlow,Ireland"
"66","019 Carlow Rural,Carlow,Ireland"
"67","019 Carlow Rural,Carlow,Ireland"
"68","019 Carlow Rural,Carlow,Ireland"
"69","001 Carlow Urban,Carlow,Ireland"
"70","001 Carlow Urban,Carlow,Ireland"
"71","001 Carlow Urban,Carlow,Ireland"
"72","001 Carlow Urban,Carlow,Ireland"
"73","001 Carlow Urban,Carlow,Ireland"
"74","001 Carlow Urban,Carlow,Ireland"
"75","001 Carlow Urban,Carlow,Ireland"
"76","001 Carlow Urban,Carlow,Ireland"
"77","001 Carlow Urban,Carlow,Ireland"
"78","001 Carlow Urban,Carlow,Ireland"
"79","001 Carlow Urban,Carlow,Ireland"
"80","001 Carlow Urban,Carlow,Ireland"
"81","001 Carlow Urban,Carlow,Ireland"
"82","001 Carlow Urban,Carlow,Ireland"
"83","001 Carlow Urban,Carlow,Ireland"
"84","001 Carlow Urban,Carlow,Ireland"
"85","001 Carlow Urban,Carlow,Ireland"
"86","001 Carlow Urban,Carlow,Ireland"
"87","001 Carlow Urban,Carlow,Ireland"
"88","001 Carlow Urban,Carlow,Ireland"
"89","001 Carlow Urban,Carlow,Ireland"
"90","001 Carlow Urban,Carlow,Ireland"
"91","001 Carlow Urban,Carlow,Ireland"
"92","001 Carlow Urban,Carlow,Ireland"
"93","020 Clogrenan,Carlow,Ireland"
"94","020 Clogrenan,Carlow,Ireland"
"95","021 Clonegall,Carlow,Ireland"
"96","021 Clonegall,Carlow,Ireland"
"97","021 Clonegall,Carlow,Ireland"
"98","021 Clonegall,Carlow,Ireland"
"99","003 Clonmore,Carlow,Ireland"
"100","003 Clonmore,Carlow,Ireland"
"101","050 Coonogue,Carlow,Ireland"
"102","022 Corries,Carlow,Ireland"
"103","022 Corries,Carlow,Ireland"
"104","023 Cranemore,Carlow,Ireland"
"105","023 Cranemore,Carlow,Ireland"
"106","023 Cranemore,Carlow,Ireland"
"107","023 Cranemore,Carlow,Ireland"
"108","024 Fennagh,Carlow,Ireland"
"109","024 Fennagh,Carlow,Ireland"
"110","024 Fennagh,Carlow,Ireland"
"111","025 Garryhill,Carlow,Ireland"
"112","025 Garryhill,Carlow,Ireland"
"113","051 Glynn,Carlow,Ireland"
"114","026 Grangeford,Carlow,Ireland"
"115","026 Grangeford,Carlow,Ireland"
"116","004 Hacketstown,Carlow,Ireland"
"117","004 Hacketstown,Carlow,Ireland"
"118","004 Hacketstown,Carlow,Ireland"
"119","004 Hacketstown,Carlow,Ireland"
"120","005 Haroldstown,Carlow,Ireland"
"121","027 Johnstown,Carlow,Ireland"
"122","027 Johnstown,Carlow,Ireland"
"123","028 Kellistown,Carlow,Ireland"
"124","028 Kellistown,Carlow,Ireland"
"125","028 Kellistown,Carlow,Ireland"
"126","029 Kilbride,Carlow,Ireland"
"127","029 Kilbride,Carlow,Ireland"
"128","030 Killedmond,Carlow,Ireland"
"129","030 Killedmond,Carlow,Ireland"
"130","031 Killerrig,Carlow,Ireland"
"131","006 Kineagh,Carlow,Ireland"
"132","052 Kyle,Carlow,Ireland"
"133","032 Leighlinbridge,Carlow,Ireland"
"134","032 Leighlinbridge,Carlow,Ireland"
"135","032 Leighlinbridge,Carlow,Ireland"
"136","032 Leighlinbridge,Carlow,Ireland"
"137","032 Leighlinbridge,Carlow,Ireland"
"138","032 Leighlinbridge,Carlow,Ireland"
"139","053 Marley,Carlow,Ireland"
"140","033 Muinebeag (Bagenalstown) Rural,Carlow,Ireland"
"141","033 Muinebeag (Bagenalstown) Rural,Carlow,Ireland"
"142","034 Muinebeag (Bagenalstown) Urban,Carlow,Ireland"
"143","034 Muinebeag (Bagenalstown) Urban,Carlow,Ireland"
"144","034 Muinebeag (Bagenalstown) Urban,Carlow,Ireland"
"145","034 Muinebeag (Bagenalstown) Urban,Carlow,Ireland"
"146","034 Muinebeag (Bagenalstown) Urban,Carlow,Ireland"
"147","034 Muinebeag (Bagenalstown) Urban,Carlow,Ireland"
"148","034 Muinebeag (Bagenalstown) Urban,Carlow,Ireland"
"149","034 Muinebeag (Bagenalstown) Urban,Carlow,Ireland"
"150","034 Muinebeag (Bagenalstown) Urban,Carlow,Ireland"
"151","034 Muinebeag (Bagenalstown) Urban,Carlow,Ireland"
"152","034 Muinebeag (Bagenalstown) Urban,Carlow,Ireland"
"153","035 Myshall,Carlow,Ireland"
"154","035 Myshall,Carlow,Ireland"
"155","036 Nurney,Carlow,Ireland"
"156","036 Nurney,Carlow,Ireland"
"157","036 Nurney,Carlow,Ireland"
"158","037 Oldleighlin,Carlow,Ireland"
"159","037 Oldleighlin,Carlow,Ireland"
"160","007 Rahill,Carlow,Ireland"
"161","007 Rahill,Carlow,Ireland"
"162","007 Rahill,Carlow,Ireland"
"163","038 Rathanna,Carlow,Ireland"
