"","County_UD","% Persons with a disability aged 0-14","% Persons with a disability aged 15 - 44","% Persons with a disability aged 25 - 44","% Persons with a disability aged 45 - 64","% Persons with a disability aged 65 Plus"
"1","Carlow",26.7,2.2,31.1,24.4,15.6
"2","Carlow",7.9,5.3,10.5,21.1,55.3
"3","Carlow",10.2,8.2,28.6,32.7,20.4
"4","Carlow",6.3,10.4,10.4,45.8,27.1
"5","Carlow",11.1,5.6,22.2,16.7,44.4
"6","Carlow",4.5,4.5,18.2,31.8,40.9
"7","Carlow",24,4,32,16,24
"8","Carlow",3.9,3.9,9.8,21.6,60.8
"9","Carlow",0,0,27.3,45.5,27.3
"10","Carlow",5,5,5,50,35
"11","Carlow",13.6,9.1,13.6,36.4,27.3
"12","Carlow",12.5,9.4,28.1,21.9,28.1
"13","Carlow",14.3,2.9,8.6,31.4,42.9
"14","Carlow",2.6,10.5,2.6,47.4,36.8
"15","Carlow",8.3,12.5,20.8,4.2,54.2
"16","Carlow",0,5.9,5.9,29.4,58.8
"17","Carlow",5.2,2.1,8.2,20.6,63.9
"18","Carlow",15,20,35,20,10
"19","Carlow",25,0,20,25,30
"20","Carlow",0,16.7,27.8,38.9,16.7
"21","Carlow",0,10.7,17.9,25,46.4
"22","Carlow",0,3.8,5.8,42.3,48.1
"23","Carlow",10.4,2.1,14.6,33.3,39.6
"24","Carlow",0,51.7,31,13.8,3.4
"25","Carlow",11.1,25.9,18.5,33.3,11.1
"26","Carlow",11.1,44.4,16.7,11.1,16.7
"27","Carlow",48.7,7.7,25.6,10.3,7.7
"28","Carlow",17.6,21.6,37.3,17.6,5.9
"29","Carlow",6.5,3.3,18.5,14.1,57.6
"30","Carlow",29.7,8.1,27,24.3,10.8
"31","Carlow",12.1,0,18.2,36.4,33.3
"32","Carlow",5.9,9.8,7.8,54.9,21.6
"33","Carlow",25,25,12.5,12.5,25
"34","Carlow",2.8,5.6,8.3,25,58.3
"35","Carlow",0,2.5,15,32.5,50
"36","Carlow",20.3,4.7,34.4,31.3,9.4
"37","Carlow",11.1,19.4,33.3,25,11.1
"38","Carlow",19,14.3,33.3,19,14.3
"39","Carlow",9.1,18.2,36.4,27.3,9.1
"40","Carlow",36.4,9.1,31.8,22.7,0
"41","Carlow",6.1,15.2,18.2,45.5,15.2
"42","Carlow",25,6.3,31.3,25,12.5
"43","Carlow",8.3,12.5,8.3,12.5,58.3
"44","Carlow",12,20,16,36,16
"45","Carlow",4.2,12.5,54.2,12.5,16.7
"46","Carlow",10.5,18.4,39.5,31.6,0
"47","Carlow",12.9,11.4,22.9,41.4,11.4
"48","Carlow",0,0,42.3,30.8,26.9
"49","Carlow",0,0,57.1,14.3,28.6
"50","Carlow",25,0,56.3,12.5,6.3
"51","Carlow",12.5,21.9,31.3,25,9.4
"52","Carlow",8.9,1.8,14.3,42.9,32.1
"53","Carlow",11.1,3.7,63,11.1,11.1
"54","Carlow",2.5,6.3,20.3,20.3,50.6
"55","Carlow",12.9,12.9,22.6,48.4,3.2
"56","Carlow",5.7,1.9,28.3,35.8,28.3
"57","Carlow",0,9.1,3,36.4,51.5
"58","Carlow",2.4,2.4,21.4,31,42.9
"59","Carlow",8.5,10.2,22,40.7,18.6
"60","Carlow",17,18.9,34,24.5,5.7
"61","Carlow",24.6,15.8,22.8,29.8,7
"62","Carlow",10,7.5,18.8,48.8,15
"63","Carlow",9.1,5.5,14.5,45.5,25.5
"64","Carlow",9.1,0,9.1,40.9,40.9
"65","Carlow",6.7,0,13.3,33.3,46.7
"66","Carlow",27.3,22.7,36.4,13.6,0
"67","Carlow",14.3,7.1,50,28.6,0
"68","Carlow",17.4,8.7,52.2,17.4,4.3
"69","Carlow",0,35.7,28.6,21.4,14.3
"70","Carlow",2.1,14.9,17,40.4,25.5
"71","Carlow",12.5,0,12.5,50,25
"72","Carlow",0,20,20,40,20
"73","Carlow",0,7.1,28.6,21.4,42.9
"74","Carlow",0,14.3,35.7,21.4,28.6
"75","Carlow",5,20,25,35,15
"76","Carlow",0,0,38.9,27.8,33.3
"77","Carlow",0,0,6.6,23.8,69.5
"78","Carlow",3.6,14.3,35.7,28.6,17.9
"79","Carlow",0,9.7,41.9,29,19.4
"80","Carlow",6,4.5,23.9,19.4,46.3
"81","Carlow",0,0,25,41.7,33.3
"82","Carlow",0,14.3,28.6,38.1,19
"83","Carlow",3.7,0,3.7,33.3,59.3
"84","Carlow",10,10,16.7,26.7,36.7
"85","Carlow",6.7,3.3,18.3,43.3,28.3
"86","Carlow",9.8,11.8,13.7,37.3,27.5
"87","Carlow",6.8,18.2,13.6,22.7,38.6
"88","Carlow",4.7,9.3,18.6,16.3,51.2
"89","Carlow",50,33.3,0,0,16.7
"90","Carlow",3.7,1.9,16.7,31.5,46.3
"91","Carlow",4.1,9.6,11,43.8,31.5
"92","Carlow",7.4,5.6,11.1,27.8,48.1
"93","Carlow",8.8,7,19.3,29.8,35.1
"94","Carlow",11.4,2.9,51.4,20,14.3
"95","Carlow",20.8,8.3,12.5,45.8,12.5
"96","Carlow",5.6,11.1,9.3,38.9,35.2
"97","Carlow",0,5.9,11.8,35.3,47.1
"98","Carlow",7.4,7.4,11.1,33.3,40.7
"99","Carlow",8,8,24,28,32
"100","Carlow",6.3,9.4,9.4,46.9,28.1
"101","Carlow",6.3,0,9.4,50,34.4
"102","Carlow",9.5,0,14.3,33.3,42.9
"103","Carlow",5.9,14.7,20.6,32.4,26.5
"104","Carlow",13.6,9.1,18.2,31.8,27.3
"105","Carlow",15.8,10.5,10.5,31.6,31.6
"106","Carlow",12.2,4.9,19.5,31.7,31.7
"107","Carlow",5.9,5.9,17.6,29.4,41.2
"108","Carlow",11.1,0,37,25.9,25.9
"109","Carlow",5.9,5.9,14.7,41.2,32.4
"110","Carlow",17.2,6.9,37.9,17.2,20.7
"111","Carlow",17.4,0,17.4,39.1,26.1
"112","Carlow",11.1,6.7,20,35.6,26.7
"113","Carlow",4.2,2.1,14.6,31.3,47.9
"114","Carlow",2.4,12.2,24.4,31.7,29.3
"115","Carlow",15,5,20,40,20
"116","Carlow",15.4,0,17.9,23.1,43.6
"117","Carlow",12.5,12.5,4.2,25,45.8
"118","Carlow",6.3,2.1,14.6,47.9,29.2
"119","Carlow",12.5,0,9.4,46.9,31.3
"120","Carlow",7.1,0,17.9,25,50
"121","Carlow",7.3,2.4,12.2,34.1,43.9
"122","Carlow",11.4,5.7,14.3,34.3,34.3
"123","Carlow",11.1,15.3,23.6,34.7,15.3
"124","Carlow",5.9,5.9,5.9,35.3,47.1
"125","Carlow",6.3,12.5,9.4,37.5,34.4
"126","Carlow",16.7,12.5,12.5,37.5,20.8
"127","Carlow",7.1,3.6,21.4,42.9,25
"128","Carlow",5.9,5.9,17.6,41.2,29.4
"129","Carlow",8,4,8,32,48
"130","Carlow",18.6,7,18.6,25.6,30.2
"131","Carlow",11.9,7.1,14.3,23.8,42.9
"132","Carlow",11.9,2.4,9.5,19,57.1
"133","Carlow",10.3,3.4,20.7,37.9,27.6
"134","Carlow",13,4.3,13,39.1,30.4
"135","Carlow",4.2,8.3,12.5,39.6,35.4
"136","Carlow",9.1,6.1,24.2,30.3,30.3
"137","Carlow",12.9,3.2,25.8,32.3,25.8
"138","Carlow",14.3,0,28.6,14.3,42.9
"139","Carlow",3.3,3.3,6.7,36.7,50
"140","Carlow",6.9,3.4,6.9,44.8,37.9
"141","Carlow",7.7,7.7,26.9,30.8,26.9
"142","Carlow",10.9,9.1,14.5,9.1,56.4
"143","Carlow",6,6,16,58,14
"144","Carlow",11.5,21.3,21.3,34.4,11.5
"145","Carlow",33.3,10.3,28.2,23.1,5.1
"146","Carlow",34.8,4.3,47.8,13,0
"147","Carlow",1.6,3.2,12.9,50,32.3
"148","Carlow",30.8,0,19.2,30.8,19.2
"149","Carlow",9.1,4.5,18.2,31.8,36.4
"150","Carlow",9.4,3.1,0,40.6,46.9
"151","Carlow",7.5,5,5,22.5,60
"152","Carlow",0,5.6,27.8,38.9,27.8
"153","Carlow",12.5,8.3,20.8,16.7,41.7
"154","Carlow",18.8,2.9,29,27.5,21.7
"155","Carlow",9.5,4.8,23.8,23.8,38.1
"156","Carlow",8.3,8.3,13.9,36.1,33.3
"157","Carlow",12.5,25,18.8,25,18.8
"158","Carlow",17.9,10.7,35.7,14.3,21.4
"159","Carlow",13.9,0,30.6,30.6,25
"160","Carlow",4.2,4.2,8.3,37.5,45.8
"161","Carlow",7.1,9.5,23.8,26.2,33.3
"162","Carlow",0,13.6,22.7,27.3,36.4
"163","Carlow",5.9,0,17.6,41.2,35.3
"164","Carlow",12.9,6.5,19.4,32.3,29
"165","Carlow",10.5,7.9,15.8,44.7,21.1
"166","Carlow",20,11.4,31.4,17.1,20
"167","Carlow",13,0,17.4,43.5,26.1
"168","Carlow",16.7,8.3,16.7,41.7,16.7
"169","Carlow",0,0,5.9,17.6,76.5
"170","Carlow",9.7,0,29,32.3,29
"171","Carlow",9.4,9.4,18.8,21.9,40.6
"172","Carlow",10.5,7.9,15.8,23.7,42.1
"173","Carlow",19.4,9.7,9.7,29,32.3
"174","Carlow",16.7,12.5,16.7,20.8,33.3
"175","Carlow",5.9,2.9,14.7,35.3,41.2
"176","Carlow",12.5,10.4,16.7,35.4,25
"177","Carlow",0,16.7,23.3,13.3,46.7
"178","Carlow",0,10,13.3,20,56.7
"179","Carlow",12.1,0,21.2,33.3,33.3
"180","Carlow",18.4,10.5,21.1,21.1,28.9
"181","Carlow",5.1,7.7,17.9,30.8,38.5
"182","Carlow",4,12,12,48,24
"183","Carlow",0,0,25,8.3,66.7
"184","Carlow",8,12,24,32,24
"185","Carlow",0,0,42.9,14.3,42.9
"186","Carlow",11.1,13.9,5.6,50,19.4
"187","Carlow",45.5,4.5,22.7,22.7,4.5
"188","Carlow",2.1,4.3,21.3,19.1,53.2
"189","Carlow",3.9,7.8,11.8,51,25.5
"190","Carlow",7.7,7.7,11.5,46.2,26.9
"191","Carlow",2.4,2.4,7.1,38.1,50
"192","Carlow",3.6,0,17.9,28.6,50
"193","Carlow",9.1,6.1,30.3,18.2,36.4
"194","Carlow",10.2,3.4,13.6,42.4,30.5
"195","Carlow",17.6,23.5,8.8,35.3,14.7
"196","Carlow",30.8,3.8,34.6,23.1,7.7
"197","Carlow",0,7.7,61.5,15.4,15.4
"198","Carlow",28.1,6.3,43.8,18.8,3.1
"199","Carlow",10.3,13.8,20.7,24.1,31
"200","Carlow",13.5,5.4,16.2,37.8,27
"201","Carlow",4.7,7,30.2,34.9,23.3
"202","Carlow",10.6,8.5,10.6,27.7,42.6
"203","Carlow",5.4,10.8,16.2,21.6,45.9
"204","Carlow",0,0,18.2,18.2,63.6
"205","Carlow",1.9,0,15.4,30.8,51.9
"206","Carlow",6.5,0,15.2,32.6,45.7
"207","Cavan",8.7,0,13,52.2,26.1
"208","Cavan",5.6,0,16.7,55.6,22.2
"209","Cavan",16.7,0,12.5,25,45.8
"210","Cavan",9.1,0,27.3,36.4,27.3
"211","Cavan",15.4,0,7.7,11.5,65.4
"212","Cavan",0,16,16,36,32
"213","Cavan",6.7,0,20,46.7,26.7
"214","Cavan",8.7,0,8.7,26.1,56.5
"215","Cavan",3.7,3.7,11.1,14.8,66.7
"216","Cavan",4.8,4.8,14.3,23.8,52.4
"217","Cavan",0,0,9.1,31.8,59.1
"218","Cavan",15.4,7.7,7.7,38.5,30.8
"219","Cavan",16.7,0,11.1,27.8,44.4
"220","Cavan",16.2,13.5,21.6,27,21.6
