"","text","emotion","polarity"
"1","the only true disability is ur bad attitude
cause youre not disabled by the disabilities youveyoure able by the abi","sadness","negative"
"2","i didnt say he had cp and it doesnt matter if anyone mocks someone with a disability esp a candidate thats a dick move","joy","positive"
"3","tfw you have a productive email exchange w yr mom re food for thanksgiving stunned everyallergyever disability specialneedsdiet wow","surprise","positive"
"4","good to seefollowing up on tory mp sheryll murrays shameful filibuster of the accessallareas bill","joy","negative"
"5","looking forward to jnr disability football league taking to the g on sundayall playing with smiles and r","unknown","positive"
"6","inwordstory psychopaths 
uk austerity policies amt to violations of disabilityrightssocietyguardian","unknown","positive"
"7","very very true wait they are made at jk for the appearance of the character reading disability","unknown","positive"
"8","pleaseask your mp to support call assess all cuts disability support","unknown","neutral"
"9","looking forward to jnr disability football league taking to the g on sundayall playing with smiles","unknown","positive"
"10","girl seriously said wishing i had been born liberal like its her race or a disability lmaooooooo","joy","positive"
"11","yet another video proving trump did not mock a reporters disability and that the wash post still lying","unknown","negative"
"12","criparmy idpwd piss on pity online eventdisability activist amp critical disability studies scholars","anger","negative"
"13","social security disability insurance i had to go back to work foryears just to get that","sadness","positive"
"14","ranking names states with best disability services","unknown","positive"
"15","dont call me inspirational woman who is nonverbal reminds us that disability is only one part of the picture","unknown","neutral"
"16","is what the cast of hamilton did more or less offensive than mocking a disabled person for their disability","disgust","negative"
"17","tory victoria atkins she voted to cut disability money like a third of tory mps shes a landlord","joy","neutral"
"18","it just occurred to me that applying for disability not for me a family member might be futile now ugh","unknown","negative"
"19","cerebral palsy wont stop this flanagan high senior from showing his swagswagon atpm tunein","anger","positive"
"20","please have a look at this petition it means a lot to me","joy","positive"
"21","find the right solicitor or conveyancermoney advice service social security disability attorneys","unknown","positive"
"22","when does accessible not mean accessible","unknown","negative"
"23","please visit our blog for writing that respects all peopledisability dignity amwriting mustread","joy","positive"
"24","want something fun and engaging to do this international day of people with disability idpwd join the piss on http","anger","neutral"
"25","please rt police are looking for this yearold man who has a mental disability","joy","positive"
"26","reminder the publishing industry isnt just racist and sexistits ableist toocriplit pwd","unknown","neutral"
"27","wash post still lying about trump mocking a disabled reporter todayheres video evidence of the truth","unknown","negative"
"28","the reporter he mocked was not a victim of cerebral palsy and the reporter himself agreed wasnt referencehis disability","unknown","negative"
"29","like shamelesssocial security disability cheating deadbeat dadwho disses obamacare and obama as","joy","neutral"
"30","i agree with this a lot because growing up teachers didnt know how to handle me or address my disability","unknown","positive"
"31","rude is grabbing a woman by her genitalia or mocking a disability ill debate rudeness with you i use the word fuck a lot is that rude","unknown","negative"
"32","please rt disabled people will die under trump an emergency plea to alliesdisability ableism","joy","neutral"
"33","a developmental disability does not alter a persons right to dignity and respectwriting amwriting mustread","unknown","neutral"
"34","disabled toilets when does accessible not mean accessible","unknown","negative"
"35","our mp sheryll murray blasted for forcing disability bill to be binned in commons debate even tory minister was ht","unknown","negative"
"36","my dented head throws of my balance so often trip when walking backwards stop mocking my disability","unknown","negative"
"37","the burden to this parent is society amp the shitty elitist ableist attitudes towards my kids w a disability","unknown","negative"
"38","congratulations to all the awesome winners of theawards find out who won atin","unknown","positive"
"39","talk about inclusion honored to be includeddedicated to recognizing accurate depictions of disabili","unknown","positive"
"40","tories cannot brush off our human rightsdisability uk","unknown","positive"
"41","i am now on disability from ruining my liver onlyfunction","unknown","positive"
"42","gross tory gov taking monies from dla recipients under pipsign petition","unknown","negative"
"43","some disability perspective on being told i need to understand the white working class in the midwest um where i am","unknown","positive"
"44","out of range ready to give a hard left hand counter boxer boxing nevergiveup disability ability inspire","joy","negative"
"45","have a betterlife with mobilitydisability aids amp healthcare aids savediscount in store marylandmall","unknown","positive"
"46","heydisability is missing here it directs hate against a race religion gender or orientation","anger","negative"
"47","these tory mps just begged their own government to delay disability benefit cutshope govt lis","unknown","neutral"
"48","kids w migraine get better quickly and dramatically w cbtimprovement in ha days amp disability inweek","sadness","neutral"
"49","wisehub has seen leaders of schools for the deaf in sa imagine collectively a better way regaining their place col","unknown","negative"
"50","it is a frequent occurrence in business richard branson and ceos of cisco and susan g komen all had it","unknown","positive"
"51","sarahdrozda he never called mexicans rapists and theres no direct proof about the disability man","unknown","positive"
"52","georgia power to pay overmillion to settle eeoc disability discrimination suiteeoc","unknown","negative"
"53","disability ddeaf and mad arts round table and mobilizing metaphor book launch
novpm
u of wpg room m","anger","negative"
"54","pr needs to lead on disability inclusionpr week","unknown","positive"
"55","he never called mexicans rapists and theres no direct proof about the disability man","unknown","positive"
"56","disability equality show hits the road read more","unknown","negative"
"57","picturing disability first friday lecture","unknown","negative"
"58","our resource booths are providing tons of information to our consumers and families teamirc ircfallfestival","unknown","positive"
"59","those receiving disability payments can naturalize","unknown","positive"
"60","its true i am proud to be who i am an australian with a disability and i am happy to be who i am but we need s","joy","positive"
"61","how can you vote for a person who mocked disability amp rephe wants to repeal aca so disappointing","unknown","negative"
"62","true story trump did not mock a reporters disability 

heres proofboycotthamil","unknown","negative"
"63","please read and shareis a genius and her work is so important disability neurodiversity","joy","positive"
"64","true story trump did not mock a reporters disability 

heres proof","unknown","negative"
"65","if at first you dont succeed try and try again teamirc ircfallfestival disability community fun basketball","unknown","negative"
"66","councils dont even provide toilets for able bodied peopleits a cross human problem that affects everybody","unknown","neutral"
"67","your inability of tolerance for human life is a mental disability i hope one day you will see we are all one the force binds us","unknown","neutral"
"68","this is your daily reminder that you voted for a man who blatantly mocked and mimicked a man with a disability","unknown","negative"
"69","students with learning differences can succeed in college","unknown","positive"
"70","did trump really mock reporters disability","unknown","neutral"
"71","idc about got but that really bothered me especially bc the author of the book didnt even do any research on disability","unknown","positive"
"72","awla rivers coordinator patronizing beautiful handicraft by the special needs children at the kir fair truly theres ab","unknown","positive"
"73","the rim of the world comfort pets are giving pawtographsamazing teamirc ircfallfestival disability community f","joy","positive"
"74","mainstreamingunsd agenda gt unfccc cop paris agreement on climate change gtaction disability sectorpwal","unknown","neutral"
"75","mainstreamingunsd agenda gtframework on urban resilience gtaction disability sectorpwal sustainability","unknown","positive"
"76","mainstreamingunsd agenda gt sendai framework on disaster risk reduction gtaction disability sectorpwal sfe","unknown","negative"
"77","i am proud to be an australian with a disability s story on fb for","joy","positive"
"78","good day friends i have a question for you folks that has applied for disability because of this awful disease","fear","negative"
"79","the rim of the world comfort pets are giving pawtographsamazing teamirc ircfallfestival disability","joy","positive"
"80","trump the cast of hamilton was mean to pence disrespectful
me shows pic of you mocking a person wdisability shut your mouth","joy","negative"
"81","no he did not mock his disability","unknown","negative"
