Both sexes,An intellectual disability,Leinster,30273,,Region,Total persons(Both Sexes),Blindness or a serious vision impairment(Both Sexes),Deafness or a serious hearing impairment(Both Sexes),A condition that substantially limits one or more basic physical activities(Both Sexes)
Both sexes,An intellectual disability,Carlow,721,,Leinster,2504814,27468,48287,125273
Both sexes,An intellectual disability,Dublin,14631,,Carlow,54612,595,1087,3064
Both sexes,An intellectual disability,Dublin City,6307,,Dublin,1273069,14375,24943,63791
Both sexes,An intellectual disability,Dun Laoghaire-Rathdown,2012,,Dublin City,527612,7560,12480,32681
Both sexes,An intellectual disability,Fingal,2984,,Dun Laoghaire-Rathdown,206261,2044,4332,9486
Both sexes,An intellectual disability,South Dublin,3328,,Fingal,273991,2170,3718,9597
Both sexes,An intellectual disability,Kildare,2639,,South Dublin,265205,2601,4413,12027
Both sexes,An intellectual disability,Kilkenny,1325,,Kildare,210312,1870,3497,8982
Both sexes,An intellectual disability,Laois,1078,,Kilkenny,95419,1013,1899,5020
Both sexes,An intellectual disability,Longford,520,,Laois,80559,885,1487,3998
Both sexes,An intellectual disability,Louth,1631,,Longford,39000,502,867,2319
Both sexes,An intellectual disability,Meath,1896,,Louth,122897,1545,2441,6937
Both sexes,An intellectual disability,Offaly,956,,Meath,184135,1658,2920,7335
Both sexes,An intellectual disability,Westmeath,1268,,Offaly,76687,911,1566,4356
Both sexes,An intellectual disability,Wexford,1893,,Westmeath,86164,1058,1783,4686
Both sexes,An intellectual disability,Wicklow,1715,,Wexford,145320,1693,3188,8197
Both sexes,An intellectual disability,Munster,16714,,Wicklow,136640,1363,2609,6588
Both sexes,An intellectual disability,Clare,1452,,Munster,1246088,14488,26224,71290
Both sexes,An intellectual disability,Cork,6929,,Clare,117196,1257,2248,6195
Both sexes,An intellectual disability,Cork City,2105,,Cork,519032,5771,10769,28488
Both sexes,An intellectual disability,Cork County,4824,,Cork City,119230,1971,3376,9252
Both sexes,An intellectual disability,Kerry,1936,,Cork County,399802,3800,7393,19236
Both sexes,An intellectual disability,Limerick,2858,,Kerry,145502,1678,3051,8329
Both sexes,An intellectual disability,Limerick City,944,,Limerick,191809,2409,3981,11732
Both sexes,An intellectual disability,Limerick County,1914,,Limerick City,57106,931,1478,4565
Both sexes,An intellectual disability,Tipperary,2116,,Limerick County,134703,1478,2503,7167
Both sexes,An intellectual disability,Waterford,1423,,Tipperary,158754,2011,3618,9976
Both sexes,An intellectual disability,Waterford City,628,,Waterford,113795,1362,2557,6570
Both sexes,An intellectual disability,Waterford County,795,,Waterford City,46732,619,1158,2990
Both sexes,An intellectual disability,Connacht,7119,,Waterford County,67063,743,1399,3580
Both sexes,An intellectual disability,Galway,3133,,Connacht,542547,6377,11151,31024
Both sexes,An intellectual disability,Galway City,858,,Galway,250653,2623,4547,12498
Both sexes,An intellectual disability,Galway County,2275,,Galway City,75529,759,1208,3223
Both sexes,An intellectual disability,Leitrim,319,,Galway County,175124,1864,3339,9275
Both sexes,An intellectual disability,Mayo,1780,,Leitrim,31798,367,704,1932
Both sexes,An intellectual disability,Roscommon,825,,Mayo,130638,1711,2957,8467
Both sexes,An intellectual disability,Sligo,1062,,Roscommon,64065,784,1490,4069
Both sexes,An intellectual disability,Ulster (part of),3603,,Sligo,65393,892,1453,4058
Both sexes,An intellectual disability,Cavan,828,,Ulster (part of),294803,3385,6398,17152
Both sexes,An intellectual disability,Donegal,2053,,Cavan,73183,729,1396,3840
Both sexes,An intellectual disability,Monaghan,722,,Donegal,161137,2006,3960,10042
Both sexes,An intellectual disability,State,57709,,Monaghan,60483,650,1042,3270
Both sexes,"Difficulty in learning, remembering or concentrating",Leinster,73691,,State,4588252,51718,92060,244739
Both sexes,"Difficulty in learning, remembering or concentrating",Carlow,1685,,Leinster,318657,,,
Both sexes,"Difficulty in learning, remembering or concentrating",Dublin,37353,,Carlow,7482,,,
Both sexes,"Difficulty in learning, remembering or concentrating",Dublin City,16993,,Dublin,164339,,,
Both sexes,"Difficulty in learning, remembering or concentrating",Dun Laoghaire-Rathdown,5869,,Dublin City,78610,,,
Both sexes,"Difficulty in learning, remembering or concentrating",Fingal,6867,,Dun Laoghaire-Rathdown,25123,,,
Both sexes,"Difficulty in learning, remembering or concentrating",South Dublin,7624,,Fingal,27928,,,
Both sexes,"Difficulty in learning, remembering or concentrating",Kildare,6047,,South Dublin,32678,,,
Both sexes,"Difficulty in learning, remembering or concentrating",Kilkenny,2813,,Kildare,24369,,,
