Counties,BothSexesWithADisability,MalesWithADisability,FemalesWithADisability
Wicklow,17616,8641,8975
Wexford,20134,10096,10038
Westmeath,11303,5559,5744
Waterford,15635,7613,8022
Tipperary,9659,11319,4901
Sligo,9248,4442,4806
Roscommon,8759,4362,4397
Offaly,10253,5033,5220
Monaghan,7184,3480,3704
Meath,19669,9779,9890
Mayo,17710,8688,9022
Louth,15932,7829,8103
Longford,5404,2616,2788
Limerick,27343,13451,13892
Leitrim,4289,2233,2056
Laois,10217,5152,5065
Kilkenny,11939,5974,5965
Kildare,24369,12106,12263
Kerry,19168,9410,9758
Galway,30175,14943,15232
Dublin,164339,76688,87651
Donegal,22646,11347,11299
Cork,68372,33393,34979
Clare,14775,7264,7511
Cavan,8714,4480,4234
Carlow,7482,3830,3652
