Address,Latitude,Longitude
072 Milltown Cavan ,53.729827,-6.882465
072 Milltown Cavan ,53.729827,-6.882465
073 Moynehall Cavan ,53.989486,-7.36271
073 Moynehall Cavan ,53.989486,-7.36271
073 Moynehall Cavan ,53.989486,-7.36271
073 Moynehall Cavan ,53.989486,-7.36271
073 Moynehall Cavan ,53.989486,-7.36271
073 Moynehall Cavan ,53.989486,-7.36271
073 Moynehall Cavan ,53.989486,-7.36271
010 Mullagh Cavan ,53.769943,-7.162591
010 Mullagh Cavan ,53.769943,-7.162591
010 Mullagh Cavan ,53.769943,-7.162591
010 Mullagh Cavan ,53.769943,-7.162591
010 Mullagh Cavan ,53.769943,-7.162591
010 Mullagh Cavan ,53.769943,-7.162591
010 Mullagh Cavan ,53.769943,-7.162591
033 Munterconnaught Cavan ,53.989719,-7.363332
033 Munterconnaught Cavan ,53.989719,-7.363332
033 Munterconnaught Cavan ,53.989719,-7.363332
033 Munterconnaught Cavan ,53.989719,-7.363332
074 Rakenny Cavan ,54.048211,-7.174638
074 Rakenny Cavan ,54.048211,-7.174638
075 Redhill Cavan ,54.089612,-7.299725
075 Redhill Cavan ,54.089612,-7.299725
093 Scrabby Cavan ,54.142516,-7.725749
093 Scrabby Cavan ,54.142516,-7.725749
093 Scrabby Cavan ,54.142516,-7.725749
011 Shercock Cavan ,53.994059,-6.894991
011 Shercock Cavan ,53.994059,-6.894991
011 Shercock Cavan ,53.994059,-6.894991
011 Shercock Cavan ,53.994059,-6.894991
011 Shercock Cavan ,53.994059,-6.894991
012 Skeagh Cavan ,53.781295,-7.485547
012 Skeagh Cavan ,53.781295,-7.485547
076 Springfield Cavan ,53.985764,-7.353127
077 Stradone Cavan ,53.865624,-7.20449
077 Stradone Cavan ,53.865624,-7.20449
077 Stradone Cavan ,53.865624,-7.20449
026 Swanlinbar Cavan ,54.191124,-7.704759
026 Swanlinbar Cavan ,54.191124,-7.704759
026 Swanlinbar Cavan ,54.191124,-7.704759
013 Taghart Cavan ,53.951166,-6.880953
013 Taghart Cavan ,53.951166,-6.880953
027/018 Templeport/Benbrack Cavan ,53.989719,-7.363332
027/018 Templeport/Benbrack Cavan ,53.989719,-7.363332
014 Termon Cavan ,54.286176,-7.91036
014 Termon Cavan ,54.286176,-7.91036
088 Tuam Cavan ,54.286176,-7.91036
088 Tuam Cavan ,54.286176,-7.91036
088 Tuam Cavan ,54.286176,-7.91036
078 Tullyvin East Cavan ,54.054332,-7.138397
078 Tullyvin East Cavan ,54.054332,-7.138397
079 Tullyvin West Cavan ,54.054332,-7.138397
034 Virginia Cavan ,53.835898,-7.084852
034 Virginia Cavan ,53.835898,-7.084852
034 Virginia Cavan ,53.835898,-7.084852
034 Virginia Cavan ,53.835898,-7.084852
034 Virginia Cavan ,53.835898,-7.084852
034 Virginia Cavan ,53.835898,-7.084852
034 Virginia Cavan ,53.835898,-7.084852
034 Virginia Cavan ,53.835898,-7.084852
034 Virginia Cavan ,53.835898,-7.084852
034 Virginia Cavan ,53.835898,-7.084852
034 Virginia Cavan ,53.835898,-7.084852
034 Virginia Cavan ,53.835898,-7.084852
034 Virginia Cavan ,53.835898,-7.084852
034 Virginia Cavan ,53.835898,-7.084852
034 Virginia Cavan ,53.835898,-7.084852
034 Virginia Cavan ,53.835898,-7.084852
034 Virginia Cavan ,53.835898,-7.084852
080 Waterloo Cavan ,54.4933,-8.193808
080 Waterloo Cavan ,54.4933,-8.193808
080 Waterloo Cavan ,54.4933,-8.193808
006 Abbey Clare ,52.844673,-8.982738
006 Abbey Clare ,52.844673,-8.982738
046 Annagh Clare ,53.76024,-8.769148
046 Annagh Clare ,53.76024,-8.769148
046 Annagh Clare ,53.76024,-8.769148
120 Ayle Clare ,52.907313,-8.691278
047 Ballagh Clare ,52.802377,-8.814529
138 Ballyblood Clare ,52.835761,-8.754974
105 Ballycannan Clare ,52.703137,-8.647546
105 Ballycannan Clare ,52.703137,-8.647546
105 Ballycannan Clare ,52.703137,-8.647546
105 Ballycannan Clare ,52.703137,-8.647546
048 Ballyea Clare ,52.78794,-9.032527
048 Ballyea Clare ,52.78794,-9.032527
048 Ballyea Clare ,52.78794,-9.032527
106 Ballyglass Clare ,52.711922,-8.607989
106 Ballyglass Clare ,52.711922,-8.607989
106 Ballyglass Clare ,52.711922,-8.607989
106 Ballyglass Clare ,52.711922,-8.607989
106 Ballyglass Clare ,52.711922,-8.607989
106 Ballyglass Clare ,52.711922,-8.607989
106 Ballyglass Clare ,52.711922,-8.607989
106 Ballyglass Clare ,52.711922,-8.607989
106 Ballyglass Clare ,52.711922,-8.607989
106 Ballyglass Clare ,52.711922,-8.607989
106 Ballyglass Clare ,52.711922,-8.607989
106 Ballyglass Clare ,52.711922,-8.607989
106 Ballyglass Clare ,52.711922,-8.607989
106 Ballyglass Clare ,52.711922,-8.607989
