ID,Category,Service name,Alternative name,Address,County,long_xcord,lat_ycord,Weighting
1,Health Centre,Lusk,Lusk,"Main Street, Lusk, Co. Dublin.",Dublin,-6.165896608,53.52664019,1
2,Health Centre,Blackrock Primary Care Centre,,"Floor 1, SKEHARD ROAD, CORK",Cork,-8.4228965,51.88837533,1
3,Health Centre,Ballingarry,Ballingarry,"Callan Road, Ballingarry, Thurles, Co. Tipperary.",Tipperary,-7.541066457,52.58621319,1
4,Health Centre,Carnew,,"Hse, Health Centre, Wool Green, Co. Wicklow",Wicklow,-6.504397945,52.71108932,1
5,Health Centre,Dowra,Dowra,"Drumnafinnila, Dowra, Co. Leitrim",Cavan,-8.015754507,54.19139736,1
6,Health Centre,Clonakilty,Clonakilty,"Primary Care Centre Hospital Grounds, Scartagh, Clonakilty, Co. Cork.",Cork,-8.876376089,51.63047732,1
7,Health Centre,Hartstown,Hartstown,"Cherryfield Lawns, Hartstown, Dublin 15",Dublin,-6.421118041,53.39236622,1
8,Health Centre,The Ballagh,The Ballagh,"Ballymurry, The Ballagh, Enniscorthy, Co. Wexford.",Wexford,-6.423529621,52.48024543,1
9,Health Centre,Milltown,Milltown,"Bridge Street, Milltown, Co. Kerry",Kerry,-9.714189915,52.14374092,1
10,Health Centre,Butler Centre,Butler Centre,"Butler Community Centre, Saint John's Park, Waterford.",Waterford,-7.108356282,52.24114218,1
11,Health Centre,Carigeen,Carigeen,"Church Hall, Carigeen, Co. Kilkenny.",Kilkenny,-7.215976462,52.2705836,1
12,Health Centre,Ferrybank,Ferrybank,"Community Hall, Ferrybank, Waterford.",Waterford,-7.099292897,52.26716741,1
13,Health Centre,Kill,Kill,"Community Hall, Kill, Co. Waterford.",Waterford,-7.338318771,52.17716558,1
14,Health Centre,Passage East,Passage East,"Community Hall, Passage East, Co. Waterford.",Waterford,-6.971684438,52.23940622,1
15,Health Centre,Emly,Emly,"Galtee View, Emly, Co. Tipperary.",Tipperary,-8.348773593,52.46276074,1
16,Health Centre,Kilsheelan,Kilsheelan,"Chapel Road, Kilsheelan, Clonmel, Co. Tipperary.",Tipperary,-7.58108214,52.36309838,1
17,Health Centre,Ashbourne,Ashbourne,"Frederick Street, Ashbourne, Co. Meath.",Meath,-6.402688647,53.51390936,1
18,Health Centre,Millbrook Lawns,Millbrook Lawns,"St. Dominic's Road, Tallaght, Dublin 24.",Dublin,-6.355062194,53.28471229,1
19,Health Centre,Ballymahon,Ballymahon,"Ballymahon, Co. Longford.",Longford,-7.766677601,53.56509614,1
20,Health Centre,Muirhevnamore,Muirhevnamore,"Muirhevnamore, Co. Louth.",Louth,-6.380236511,53.99100699,1
21,Health Centre,Oylegate,Oylegate,"Oylegate, Enniscorthy, Co. Wexford.",Wexford,-6.527972774,52.42434945,1
22,Health Centre,Rosslare,Rosslare,"St. Martin's Road, Rosslare Harbour, Co. Wexford.",Wexford,-6.338671119,52.24986025,1
23,Health Centre,Arva,Arva,"Arva, Co, Cavan",Cavan,-7.577112988,53.92014947,1
24,Health Centre,Oldcastle,Oldcastle,"Oldcastle, Co. Meath.",Meath,-7.160269527,53.7691506,1
25,Health Centre,Dillons Cross,Dillons Cross,"Harrington Square, Ballyhooly Road, Cork.",Cork,-8.456888688,51.90826636,1
26,Health Centre,Rockchapel,Rockchapel,"Community Hall, Rockchapel, Co. Cork.",Cork,-9.147702982,52.28826442,1
27,Health Centre,Paulstown,Paulstown,"Gowran Road, Paulstown, Co. Kilkenny.",Kilkenny,-7.021762421,52.68207583,1
28,Health Centre,Stradbally,Stradbally,"Credit Union Building, Stradbally, Co. Waterford.",Waterford,-7.459411415,52.13229512,1
29,Health Centre,Ballymacarbry,Ballymacarbry,"Four Mile Water, Clonmel, Co. Tipperary.",Waterford,-7.752280699,52.28001978,1
30,Health Centre,Ballysloe,Ballysloe,"Ballysloe, Gortnahoe, Co. Tipperary.",Tipperary,-7.607706494,52.63734768,1
31,Health Centre,Bansha,Bansha,"Main Street, Bansha, Co. Tipperary.",Tipperary,-8.062190921,52.44647391,1
32,Health Centre,Cahir,Cahir,"Pearse Street, Cahir, Co. Tipperary.",Tipperary,-7.920545344,52.37421638,1
33,Health Centre,Cappawhite,Cappawhite,"Cappawhite, Co. Tipperary.",Tipperary,-8.163574477,52.58204202,1
34,Health Centre,Carrick on Suir,Carrick on Suir,"Waterford Road, Carrick on Suir, Co. Tipperary.",Tipperary,-7.403739177,52.34779972,1
35,Health Centre,Cashel,Cashel,"Our Lady's Hospital, The Green, Cashel, Co. Tipperary.",Tipperary,-7.887060607,52.51405873,1
36,Health Centre,Clogheen,Clogheen,"Convent Road, Clogheen, Co. Tipperary.",Tipperary,-7.992330157,52.27255361,1
37,Health Centre,Clonea,Clonea,"Clodagh Drive, Clonea Power, Carrick, Co. Tipperary.",Waterford,-7.445817911,52.28196656,1
38,Health Centre,Dundrum,Dundrum,"Dundrum, Co. Tipperary.",Tipperary,-8.044745319,52.56040108,1
39,Health Centre,Mullinahone,Mullinahone,"Carrick Steet, Mullinahone, Co. Tipperary.",Tipperary,-7.503604343,52.51282981,1
40,Health Centre,New Inn,New Inn,"New Inn, Cashel, Co. Tipperary.",Tipperary,-7.877951088,52.4407282,1
41,Health Centre,Newcastle,Newcastle,"Newcastle, Clonmel, Co. Tipperary.",Tipperary,-7.809849603,52.27225398,1
42,Health Centre,Tipperary,Tipperary,"St. Vincent's Hospital, Tipperary Town, Co. Tipperary.",Tipperary,-8.157054644,52.46718442,1
43,Health Centre,Adamstown,Adamstown,"Adamstown, New Ross, Co. Wexford.",Wexford,-6.716031937,52.3925284,1
44,Health Centre,Ballindaggin,Ballindaggin,"Coolycarney, Ballindaggin, Enniscorthy, Co. Wexford.",Wexford,-6.679701768,52.56755773,1
45,Health Centre,Ballycullane,Ballycullane,"Ballycullane, New Ross, Co. Wexford.",Wexford,-6.834619174,52.26740469,1
46,Health Centre,Bannow,Bannow,"Bannow, Duncormick, Co. Wexford.",Wexford,-6.703001903,52.24437636,1
47,Health Centre,Blackwater,Blackwater,Blackwater Co. Wexford,Wexford,-6.347477143,52.44618389,1
48,Health Centre,Bree,Bree,"Bree, Enniscorthy, Co. Wexford.",Wexford,-6.63198261,52.42414356,1
49,Health Centre,Bridgetown,Bridgetown,"Bridgetown, Co. Wexford.",Wexford,-6.553289706,52.23231874,1
50,Health Centre,Bunclody,Bunclody,"Mill Road, Bunclody, Enniscorthy, Co. Wexford.",Wexford,-6.65634804,52.65091587,1
51,Health Centre,Camolin,Camolin,"Camolin, Enniscorthy, Co. Wexford.",Wexford,-6.42138482,52.61840993,1
52,Health Centre,Campile,Campile,"Ballykeeroge, Campile, New Ross, Co. Wexford.",Wexford,-6.945255449,52.29177796,1
53,Health Centre,Castlebridge,Castlebridge,"Castlebridge, Co. Wexford.",Wexford,-6.450120477,52.38099679,1
54,Health Centre,Clonroche,Clonroche,"Clonroche, Enniscorthy, Co. Wexford.",Wexford,-6.63200008,52.42411583,1
55,Health Centre,Enniscorthy,Enniscorthy,"Millpark Road, Enniscorthy, Co. Wexford.",Wexford,-6.566557808,52.49891214,1
56,Health Centre,Ferns,Ferns,"Ferns, Enniscorthy, Co. Wexfrod.",Wexford,-6.503463467,52.59132579,1
57,Health Centre,Gorey,Gorey,"Gorey, Co. Wexford.",Wexford,-6.300017977,52.67482933,1
58,Health Centre,Taghmon,Taghmon,"Main Street, Taghmon, Co. Wexford.",Wexford,-6.650911712,52.32241786,1
59,Health Centre,Wexford,Wexford,"County Clinic, Grogans Road, Wexford",Wexford,-6.464412992,52.33500659,1
60,Health Centre,Abbeyknockmoy,Abbeyknockmoy,"Culliagh South, Abbeyknockmoy, Tuam, Co. Galway.",Galway,-8.754885478,53.43384634,1
61,Health Centre,Ahascragh,Ahascragh,"Chapel Street, Ahascragh, Co. Galway",Galway,-8.330845226,53.39577956,1
62,Health Centre,Ardrahan,Ardrahan,"Ardrahan, Co. Galway.",Galway,-8.804646175,53.15547836,1
63,Health Centre,Athenry,Athenry,"New Line, Athenry, Co. Galway.",Galway,-8.747495215,53.30294895,1
64,Health Centre,Aughrim,Aughrim,"Aughrim, Ballinasloe, Co. Galway.",Galway,-8.317134502,53.30320765,1
65,Health Centre,Ballygar,Ballygar,"Ballygar, Co. Galway.",Galway,-8.32814155,53.52198131,1
66,Health Centre,Caltra,Caltra,"Caltra, Ballinasloe, Co. Galway.",Galway,-8.438717297,53.43496079,1
67,Health Centre,Clifden,Clifden,"Hospital Road, Clifden, Co. Galway.",Galway,-10.01666086,53.48963579,1
68,Health Centre,Corrandulla,Corrandulla,"Corrandulla, Co. Galway.",Galway,-8.993407432,53.3980844,1
69,Health Centre,Craughwell,Craughwell,"Killora, Craughwell, Co. Galway.",Galway,-8.732405055,53.22661232,1
70,Health Centre,Dunmore,Dunmore,"The Square, Dunmore, Co. Galway.",Galway,-8.74401753,53.61690935,1
71,Health Centre,Glenamaddy,Glenamaddy,"Kilkerrin Road, Glenamaddy, Ballinasloe, Co. Galway.",Galway,-8.560256626,53.60493748,1
72,Health Centre,Gort,Gort,"Ennis Road, Gort, Co. Galway.",Galway,-8.813762835,53.06249565,1
73,Health Centre,Gorteeney,Gorteeney,"Gorteeney, Woodford, Loughrea, Co. Galway.",Galway,-8.362176575,53.01940566,1
74,Health Centre,Headford,Headford,"Galway Road, Headford, Co. Galway.",Galway,-9.107068496,53.46838355,1
75,Health Centre,Kilconnell,Kilconnell,"Kilconnell, Ballinasloe, Co. Galway.",Galway,-8.397722293,53.33271062,1
76,Health Centre,Killimor,Killimor,"Killimor, Ballinasloe, Co. Galway.",Galway,-8.293330459,53.1661025,1
77,Health Centre,Kiltormer,Kiltormer,"Mount Prospect, Kiltormer, Co. Galway.",Galway,-8.265477328,53.23451897,1
78,Health Centre,Lackagh,Lackagh,"Lackaghmore, Turloughmore, Athenry, Co. Galway",Galway,-8.893417143,53.36898862,1
79,Health Centre,Laurencetown,Laurencetown,"Laurencetown, Ballinasloe, Co. Galway.",Galway,-8.181797846,53.2359877,1
80,Health Centre,Leenane,Leenane,"Derraheeda, Leenane, Co. Galway.",Galway,-9.691795998,53.59469001,1
81,Health Centre,Liscune,Liscune,"Liscune Lower, Ballymacward, Co. Galway.",Galway,-8.466874456,53.36492071,1
82,Health Centre,Mervue,Mervue,"Michael Collins Road, Mervue, Galway.",Galway,-9.016291959,53.28115805,1
83,Health Centre,Milltown,Milltown,"Milltown, Tuam, Co. Galway.",Galway,-8.896761935,53.61103318,1
84,Health Centre,Monivea,Monivea,"Monivea, Athenry, Co. Galway.",Galway,-8.70384728,53.37456065,1
85,Health Centre,Mountbellew,Mountbellew,"College Road, Mountbellew, Co. Galway.",Galway,-8.496497931,53.46870302,1
